date,ticket_id,agent_id,support_cost,sla_met,first_contact_resolution,csat_score
2025-01-12,TCK00191,AGT0239,19092.54,Yes,Yes,4.48
2025-01-13,TCK00192,AGT0143,64873.74,Yes,Yes,4.26
2025-01-14,TCK00193,AGT0096,27683.44,Yes,Yes,4.24
2025-01-15,TCK00194,AGT0200,32628.71,Yes,No,4.58
2025-01-16,TCK00195,AGT0123,25621.49,Yes,Yes,5.0
2025-01-17,TCK00196,AGT0186,96205.18,Yes,Yes,4.83
2025-01-18,TCK00197,AGT0258,86915.57,Yes,Yes,4.9
2025-01-19,TCK00198,AGT0147,30744.54,Yes,Yes,4.84
2025-01-20,TCK00199,AGT0251,39480.97,Yes,Yes,4.39
2025-01-21,TCK00200,AGT0146,28890.36,Yes,Yes,4.69
2025-01-22,TCK00201,AGT0147,54268.84,Yes,Yes,4.93
2025-01-23,TCK00202,AGT0198,11764.95,Yes,No,4.85
2025-01-24,TCK00203,AGT0127,70423.12,Yes,Yes,4.66
2025-01-25,TCK00204,AGT0038,57084.23,Yes,No,4.76
2025-01-26,TCK00205,AGT0128,90877.5,Yes,No,5.0
2025-01-27,TCK00206,AGT0266,24795.34,Yes,Yes,4.85
2025-01-28,TCK00207,AGT0150,82369.83,Yes,Yes,4.51
2025-01-29,TCK00208,AGT0297,81276.49,Yes,Yes,4.58
2025-01-30,TCK00209,AGT0098,21446.31,Yes,Yes,4.28
2025-01-31,TCK00210,AGT0262,45870.33,Yes,Yes,5.0
2025-02-01,TCK00211,AGT0251,25313.74,Yes,Yes,5.0
2025-02-02,TCK00212,AGT0143,32924.85,Yes,No,4.62
2025-02-03,TCK00213,AGT0111,33692.16,Yes,Yes,5.0
2025-02-04,TCK00214,AGT0059,60061.28,Yes,Yes,4.79
2025-02-05,TCK00215,AGT0001,47026.98,Yes,Yes,4.47
2025-02-06,TCK00216,AGT0253,95295.95,Yes,Yes,4.87
2025-02-07,TCK00217,AGT0139,21373.31,Yes,No,4.72
2025-02-08,TCK00218,AGT0036,97632.29,Yes,Yes,4.85
2025-02-09,TCK00219,AGT0159,30757.48,Yes,Yes,4.19
2025-02-10,TCK00220,AGT0008,79558.65,Yes,No,4.36
2025-02-11,TCK00221,AGT0232,40507.29,Yes,No,5.0
2025-02-12,TCK00222,AGT0098,22877.33,Yes,Yes,5.0
2025-02-13,TCK00223,AGT0146,87210.03,Yes,No,5.0
2025-02-14,TCK00224,AGT0207,37797.48,Yes,Yes,5.0
2025-02-15,TCK00225,AGT0130,69296.99,Yes,Yes,4.77
2025-02-16,TCK00226,AGT0151,60979.93,Yes,Yes,4.75
2025-02-17,TCK00227,AGT0053,52458.07,Yes,Yes,4.33
2025-02-18,TCK00228,AGT0119,54623.75,Yes,Yes,4.43
2025-02-19,TCK00229,AGT0160,75901.41,Yes,No,4.0
2025-02-20,TCK00230,AGT0115,17899.56,No,Yes,4.5
2025-02-21,TCK00231,AGT0074,70136.26,Yes,No,3.98
2025-02-22,TCK00232,AGT0112,90623.09,Yes,Yes,4.92
2025-02-23,TCK00233,AGT0103,15200.94,Yes,Yes,4.72
2025-02-24,TCK00234,AGT0253,22658.8,Yes,Yes,3.99
2025-02-25,TCK00235,AGT0226,74496.87,Yes,Yes,4.54
2025-02-26,TCK00236,AGT0111,49355.35,Yes,Yes,5.0
2025-02-27,TCK00237,AGT0098,46319.38,Yes,Yes,4.56
2025-02-28,TCK00238,AGT0152,22327.0,Yes,Yes,4.3
2025-03-01,TCK00239,AGT0193,55609.3,Yes,No,4.06
2025-03-02,TCK00240,AGT0162,21389.08,Yes,Yes,4.07
2025-03-03,TCK00241,AGT0207,52895.84,Yes,Yes,4.76
2025-03-04,TCK00242,AGT0168,78725.38,Yes,Yes,4.47
2025-03-05,TCK00243,AGT0160,33243.79,Yes,Yes,4.49
2025-03-06,TCK00244,AGT0067,53270.76,Yes,No,4.47
2025-03-07,TCK00245,AGT0288,99281.44,Yes,Yes,4.56
2025-03-08,TCK00246,AGT0276,71798.54,Yes,No,4.23
2025-03-09,TCK00247,AGT0134,85722.11,Yes,Yes,4.69
2025-03-10,TCK00248,AGT0194,47336.28,No,Yes,4.17
2025-03-11,TCK00249,AGT0127,79107.48,Yes,No,4.37
2025-03-12,TCK00250,AGT0032,13645.83,Yes,No,4.9
2025-03-13,TCK00251,AGT0175,21062.01,Yes,No,4.71
2025-03-14,TCK00252,AGT0021,28276.35,Yes,Yes,4.81
2025-03-15,TCK00253,AGT0237,46175.67,Yes,Yes,5.0
2025-03-16,TCK00254,AGT0157,86117.04,Yes,Yes,4.58
2025-03-17,TCK00255,AGT0037,41163.94,Yes,No,4.61
2025-03-18,TCK00256,AGT0229,68915.91,Yes,No,4.52
2025-03-19,TCK00257,AGT0050,73838.29,Yes,Yes,4.47
2025-03-20,TCK00258,AGT0263,62756.41,Yes,Yes,4.3
2025-03-21,TCK00259,AGT0282,42151.78,Yes,Yes,4.63
2025-03-22,TCK00260,AGT0026,61934.8,Yes,Yes,4.71
2025-03-23,TCK00261,AGT0225,40803.9,Yes,Yes,4.72
2025-03-24,TCK00262,AGT0276,17548.64,Yes,Yes,4.62
2025-03-25,TCK00263,AGT0285,99352.36,Yes,No,4.88
2025-03-26,TCK00264,AGT0096,21446.42,Yes,Yes,4.61
2025-03-27,TCK00265,AGT0283,16511.35,Yes,Yes,4.48
2025-03-28,TCK00266,AGT0146,89067.77,Yes,Yes,4.32
2025-03-29,TCK00267,AGT0003,37165.12,Yes,Yes,4.14
2025-03-30,TCK00268,AGT0034,68526.73,Yes,Yes,5.0
2025-03-31,TCK00269,AGT0191,39610.52,Yes,No,4.39
2025-01-01,TCK00270,AGT0048,45230.88,Yes,Yes,4.32
2025-01-02,TCK00271,AGT0016,33590.17,Yes,Yes,4.47
2025-01-03,TCK00272,AGT0171,40873.96,Yes,No,4.52
2025-01-04,TCK00273,AGT0219,46963.04,Yes,Yes,5.0
2025-01-05,TCK00274,AGT0157,74837.45,Yes,Yes,4.5
2025-01-06,TCK00275,AGT0045,56038.26,Yes,Yes,5.0
2025-01-07,TCK00276,AGT0005,94920.87,Yes,Yes,4.62
2025-01-08,TCK00277,AGT0098,13769.24,Yes,Yes,5.0
2025-01-09,TCK00278,AGT0232,55276.15,Yes,Yes,4.87
2025-01-10,TCK00279,AGT0036,62580.23,Yes,No,4.71
2025-01-11,TCK00280,AGT0279,92817.73,Yes,Yes,5.0
2025-01-12,TCK00281,AGT0180,14424.27,Yes,Yes,4.94
2025-01-13,TCK00282,AGT0094,61614.96,Yes,Yes,4.79
2025-01-14,TCK00283,AGT0098,86826.69,Yes,Yes,5.0
2025-01-15,TCK00284,AGT0187,31773.5,Yes,Yes,4.45
2025-01-16,TCK00285,AGT0115,88866.31,Yes,No,4.3
2025-01-17,TCK00286,AGT0190,11713.91,Yes,Yes,4.4
2025-01-18,TCK00287,AGT0252,75920.92,Yes,Yes,5.0
2025-01-19,TCK00288,AGT0160,93980.19,Yes,No,5.0
2025-01-20,TCK00289,AGT0255,69147.79,Yes,Yes,4.44
2025-01-21,TCK00290,AGT0127,49512.63,No,Yes,3.89
2025-01-22,TCK00291,AGT0017,14039.29,Yes,Yes,4.54
2025-01-23,TCK00292,AGT0280,92810.24,Yes,Yes,4.3
2025-01-24,TCK00293,AGT0222,52326.66,Yes,Yes,4.45
2025-01-25,TCK00294,AGT0053,12609.71,Yes,Yes,4.28
2025-01-26,TCK00295,AGT0057,72083.9,Yes,Yes,4.12
2025-01-27,TCK00296,AGT0173,53365.35,Yes,Yes,5.0
2025-01-28,TCK00297,AGT0279,21191.08,Yes,Yes,4.39
2025-01-29,TCK00298,AGT0113,29284.46,Yes,Yes,5.0
2025-01-30,TCK00299,AGT0287,15804.16,Yes,Yes,4.53
2025-01-31,TCK00300,AGT0150,61686.42,Yes,Yes,4.26
2025-02-01,TCK00301,AGT0126,65982.65,Yes,Yes,4.75
2025-02-02,TCK00302,AGT0154,55516.81,Yes,Yes,4.48
2025-02-03,TCK00303,AGT0272,83539.19,Yes,Yes,4.54
2025-02-04,TCK00304,AGT0103,87490.79,Yes,Yes,4.64
2025-02-05,TCK00305,AGT0298,65406.2,Yes,Yes,4.36
2025-02-06,TCK00306,AGT0245,11148.08,Yes,Yes,4.11
2025-02-07,TCK00307,AGT0175,72570.67,Yes,No,4.58
2025-02-08,TCK00308,AGT0038,47619.93,Yes,Yes,4.89
2025-02-09,TCK00309,AGT0169,60900.17,Yes,No,4.33
2025-02-10,TCK00310,AGT0246,68417.25,Yes,No,4.65
2025-02-11,TCK00311,AGT0025,41521.3,Yes,No,5.0
2025-02-12,TCK00312,AGT0012,92538.87,Yes,No,4.57
2025-02-13,TCK00313,AGT0035,22057.74,Yes,Yes,4.63
2025-02-14,TCK00314,AGT0172,70436.06,Yes,Yes,4.62
2025-02-15,TCK00315,AGT0019,10392.36,Yes,Yes,4.4
2025-02-16,TCK00316,AGT0263,93218.6,Yes,Yes,4.3
2025-02-17,TCK00317,AGT0141,20125.37,Yes,Yes,4.3
2025-02-18,TCK00318,AGT0142,18539.58,Yes,Yes,4.71
2025-02-19,TCK00319,AGT0091,39970.69,No,Yes,4.83
2025-02-20,TCK00320,AGT0287,43620.97,Yes,Yes,4.84
2025-02-21,TCK00321,AGT0214,29287.01,Yes,Yes,4.49
2025-02-22,TCK00322,AGT0050,62660.95,Yes,Yes,4.93
2025-02-23,TCK00323,AGT0152,49862.27,Yes,Yes,4.69
2025-02-24,TCK00324,AGT0185,13075.8,Yes,No,4.62
2025-02-25,TCK00325,AGT0062,38768.69,Yes,No,3.6
2025-02-26,TCK00326,AGT0189,82938.96,Yes,No,4.35
2025-02-27,TCK00327,AGT0124,72073.14,Yes,Yes,4.14
2025-02-28,TCK00328,AGT0149,75238.38,Yes,No,4.79
2025-03-01,TCK00329,AGT0057,72830.52,Yes,Yes,4.63
2025-03-02,TCK00330,AGT0179,37987.57,Yes,No,4.28
2025-03-03,TCK00331,AGT0169,18969.75,Yes,Yes,4.69
2025-03-04,TCK00332,AGT0270,34522.05,Yes,Yes,4.17
2025-03-05,TCK00333,AGT0053,84860.68,Yes,Yes,4.29
2025-03-06,TCK00334,AGT0100,98242.37,Yes,Yes,4.39
2025-03-07,TCK00335,AGT0263,54446.23,Yes,Yes,4.76
2025-03-08,TCK00336,AGT0052,10873.03,Yes,Yes,5.0
2025-03-09,TCK00337,AGT0059,22604.03,Yes,Yes,4.42
2025-03-10,TCK00338,AGT0107,38987.25,Yes,Yes,5.0
2025-03-11,TCK00339,AGT0004,62072.68,Yes,Yes,4.61
2025-03-12,TCK00340,AGT0102,16758.43,Yes,Yes,4.67
2025-03-13,TCK00341,AGT0195,94902.16,Yes,Yes,4.58
2025-03-14,TCK00342,AGT0261,42857.53,Yes,Yes,4.54
2025-03-15,TCK00343,AGT0046,92132.58,Yes,Yes,4.73
2025-03-16,TCK00344,AGT0143,80246.96,Yes,Yes,4.82
2025-03-17,TCK00345,AGT0268,77989.35,Yes,Yes,4.33
2025-03-18,TCK00346,AGT0123,64604.76,Yes,Yes,4.54
2025-03-19,TCK00347,AGT0105,66410.54,Yes,Yes,5.0
2025-03-20,TCK00348,AGT0157,67420.29,Yes,No,4.65
2025-03-21,TCK00349,AGT0146,66584.92,Yes,No,4.69
2025-03-22,TCK00350,AGT0144,59835.54,Yes,Yes,4.95
2025-03-23,TCK00351,AGT0119,98777.26,Yes,Yes,4.45
2025-03-24,TCK00352,AGT0274,75906.15,Yes,Yes,4.59
2025-03-25,TCK00353,AGT0091,79925.17,Yes,Yes,4.85
2025-03-26,TCK00354,AGT0057,88521.65,No,Yes,4.97
2025-03-27,TCK00355,AGT0228,29407.58,Yes,No,3.89
2025-03-28,TCK00356,AGT0116,17542.37,Yes,Yes,4.38
2025-03-29,TCK00357,AGT0278,53460.5,Yes,Yes,4.3
2025-03-30,TCK00358,AGT0126,56267.26,Yes,Yes,4.56
2025-03-31,TCK00359,AGT0128,84626.36,Yes,Yes,4.32
2025-01-01,TCK00360,AGT0057,49940.52,Yes,Yes,4.8
2025-01-02,TCK00361,AGT0121,61376.77,No,Yes,4.65
2025-01-03,TCK00362,AGT0000,57436.38,Yes,Yes,4.87
2025-01-04,TCK00363,AGT0238,13438.25,Yes,Yes,4.89
2025-01-05,TCK00364,AGT0289,65369.34,Yes,Yes,4.8
2025-01-06,TCK00365,AGT0095,84523.9,Yes,No,4.5
2025-01-07,TCK00366,AGT0125,24175.05,Yes,Yes,4.63
2025-01-08,TCK00367,AGT0117,63489.86,Yes,No,4.46
2025-01-09,TCK00368,AGT0047,63424.95,Yes,Yes,4.19
2025-01-10,TCK00369,AGT0088,24776.65,Yes,Yes,4.89
2025-01-11,TCK00370,AGT0236,21111.72,Yes,No,4.57
2025-01-12,TCK00371,AGT0271,98204.67,Yes,Yes,4.15
2025-01-13,TCK00372,AGT0188,45434.73,Yes,Yes,4.76
2025-01-14,TCK00373,AGT0191,30467.96,Yes,Yes,4.53
2025-01-15,TCK00374,AGT0068,25419.21,Yes,Yes,3.98
2025-01-16,TCK00375,AGT0277,70084.15,Yes,Yes,4.19
2025-01-17,TCK00376,AGT0246,64850.08,Yes,Yes,4.39
2025-01-18,TCK00377,AGT0075,67919.69,Yes,Yes,4.66
2025-01-19,TCK00378,AGT0153,17920.54,Yes,Yes,4.84
2025-01-20,TCK00379,AGT0143,90418.11,Yes,Yes,4.83
2025-01-21,TCK00380,AGT0085,45033.98,Yes,Yes,4.78
2025-01-22,TCK00381,AGT0184,38203.25,Yes,Yes,4.59
2025-01-23,TCK00382,AGT0284,51612.53,Yes,Yes,5.0
2025-01-24,TCK00383,AGT0219,45105.95,Yes,Yes,4.81
2025-01-25,TCK00384,AGT0068,87721.93,Yes,Yes,4.67
2025-01-26,TCK00385,AGT0046,93633.49,Yes,Yes,4.77
2025-01-27,TCK00386,AGT0093,37310.79,Yes,Yes,4.48
2025-01-28,TCK00387,AGT0237,87754.22,No,Yes,4.58
2025-01-29,TCK00388,AGT0203,80337.08,Yes,Yes,3.98
2025-01-30,TCK00389,AGT0217,93772.69,Yes,Yes,4.48
2025-01-31,TCK00390,AGT0038,32117.53,Yes,Yes,5.0
2025-02-01,TCK00391,AGT0099,61926.32,Yes,No,4.64
