date,record_id,net_profit,revenue,operating_cash_flow,accounts_receivable,dso,budgeted_amount,actual_spend,budget_accuracy_score,internal_csat_score
2025-02-23,FIN00053,1363275.56,4526074.8592,597814.38,8931764.98,59.2,4126113.11,4400105.73,93.36,4.92
2025-02-24,FIN00054,977269.97,3469308.3935,820856.31,3563190.15,30.81,3426410.17,3501663.89,97.8,4.33
2025-02-25,FIN00055,1398436.51,4824605.9595,976077.1,8336804.86,51.84,4860133.63,5127622.27,94.5,3.99
2025-02-26,FIN00056,315040.25,1071136.8499999999,460444.35,1945850.26,54.5,1133366.0,1128187.61,99.54,4.39
2025-02-27,FIN00057,454777.72,1841849.7659999998,400553.16,1939786.97,31.6,1702284.9,1610058.26,94.58,4.89
2025-02-28,FIN00058,258795.48,918723.954,939017.22,1450637.25,47.37,907847.73,894998.25,98.58,4.31
2025-03-01,FIN00059,622929.43,1949769.1159,768267.15,3513371.43,54.06,1871665.88,1827301.93,97.63,4.46
2025-03-02,FIN00060,705280.48,2129947.0496,606590.22,3324929.83,46.83,2049865.61,1981283.88,96.65,4.37
2025-03-03,FIN00061,552753.74,1426104.6492,701281.7,1517109.51,31.91,1505620.8,1418949.36,94.24,4.54
2025-03-04,FIN00062,1277358.76,4687906.6492,821929.73,7938722.58,50.8,4224236.06,4443192.7,94.82,4.29
2025-03-05,FIN00063,663779.32,1964786.7872,841122.33,2083846.8,31.82,2062666.04,1892022.36,91.73,4.16
2025-03-06,FIN00064,565214.86,1582601.6079999998,943925.93,2876329.2,54.52,1680849.02,1811135.3,92.25,4.47
2025-03-07,FIN00065,905504.91,3449973.7071,598789.95,3598440.51,31.29,3726911.54,3484680.72,93.5,4.52
2025-03-08,FIN00066,383201.49,1479157.7514,505387.64,1682390.15,34.12,1516693.39,1662257.63,90.4,4.93
2025-03-09,FIN00067,1242856.07,4971424.28,747764.99,6339100.84,38.25,4805831.44,5275330.46,90.23,4.62
2025-03-10,FIN00068,296915.84,1042174.5984,591009.53,1702251.3,49.0,1027007.78,1006136.32,97.97,4.25
2025-03-11,FIN00069,1482953.02,6361868.455800001,716218.92,12573336.61,59.29,6959548.29,7638551.15,90.24,4.38
2025-03-12,FIN00070,1203918.2,5261122.534,593990.06,5881003.0,33.53,5662216.65,6080165.84,92.62,4.81
2025-03-13,FIN00071,458330.39,1883737.9029,407097.05,2152561.75,34.28,1869996.38,1713825.6,91.65,4.47
2025-03-14,FIN00072,207178.75,781063.8875,628598.73,1069175.23,41.07,850275.99,926346.54,91.05,4.27
2025-03-15,FIN00073,1260099.86,3918910.5646,783642.48,7195978.58,55.09,4172036.82,3790307.45,90.85,4.62
2025-03-16,FIN00074,1118914.55,5001548.0385,859498.67,7338426.09,44.02,5402762.08,5059053.8,93.64,4.36
2025-03-17,FIN00075,1147709.32,3500513.426,645328.39,4626315.65,39.65,3628616.28,3690009.23,98.31,4.74
2025-03-18,FIN00076,1202651.45,3499715.7195,415666.52,5463769.59,46.84,3750053.22,3435601.64,91.61,4.71
2025-03-19,FIN00077,296258.05,1001352.2089999999,590281.4,1262227.69,37.82,1079811.39,1006757.34,93.23,4.26
2025-03-20,FIN00078,666005.45,1738274.2244999998,850405.75,2435600.15,42.03,1596436.81,1741231.01,90.93,5.0
2025-03-21,FIN00079,350629.78,1563808.8188,589001.49,2083939.68,39.98,1709310.9,1878425.98,90.11,4.56
2025-03-22,FIN00080,1322034.45,4865086.776,787571.56,8777302.63,54.12,4703189.43,4983627.96,94.04,3.8
2025-03-23,FIN00081,1010287.56,3647138.0916,655049.58,7018026.36,57.73,3603299.13,3614259.93,99.7,4.71
2025-03-24,FIN00082,630167.43,2400937.9083000002,468856.19,4224623.58,52.79,2541106.47,2744547.93,91.99,3.82
2025-03-25,FIN00083,282625.86,986364.2514000001,857305.36,1419460.59,43.17,1018893.82,939807.03,92.24,4.91
2025-03-26,FIN00084,604277.02,1546949.1712,358949.42,2327129.75,45.13,1668557.91,1816356.06,91.14,4.62
2025-03-27,FIN00085,622738.32,2316586.5504,667423.2,2606330.59,33.75,2270520.65,2203110.22,97.03,4.56
2025-03-28,FIN00086,1148488.03,4513557.957900001,446223.72,7884575.12,52.41,4399173.71,4717224.64,92.77,4.57
2025-03-29,FIN00087,1028824.71,3425986.2843,346945.94,5469503.78,47.89,3105100.77,3209664.05,96.63,4.75
2025-03-30,FIN00088,1353376.57,5427040.0457,652053.76,10324618.04,57.07,5386581.87,5882442.92,90.79,4.43
2025-03-31,FIN00089,813879.4,2400944.23,649693.51,2882600.4,36.02,2508540.51,2691502.4,92.71,4.57
2025-01-01,FIN00090,355472.52,1045089.2088,794830.63,1839070.78,52.79,1003532.01,1081385.59,92.24,4.61
2025-01-02,FIN00091,1127218.22,3178755.3803999997,821325.49,5355159.11,50.54,3155058.72,3238197.27,97.36,3.71
2025-01-03,FIN00092,1189020.56,3852426.6144000003,809454.04,4876577.02,37.98,3636226.71,3878514.7,93.34,4.75
2025-01-04,FIN00093,929660.36,3895276.9084,586691.11,6494901.51,50.02,4107793.72,4319042.06,94.86,4.8
2025-01-05,FIN00094,1202257.33,5001390.4928,742182.85,9624542.73,57.73,4561779.83,4253059.68,93.23,4.71
2025-01-06,FIN00095,841934.28,2753125.0956,703861.67,5281694.26,57.55,2866214.14,2951396.25,97.03,4.69
2025-01-07,FIN00096,879552.68,3236753.8624000004,595093.23,5566007.96,51.59,3158385.59,2936146.13,92.96,5.0
2025-01-08,FIN00097,755803.32,2977865.0807999996,718048.89,3121020.32,31.44,2704852.07,2904716.9,92.61,4.56
2025-01-09,FIN00098,233044.86,694473.6828,963073.51,1300238.31,56.17,743568.75,679019.52,91.32,4.57
2025-01-10,FIN00099,340258.86,966335.1623999999,435025.62,1601969.76,49.73,963962.2,1057861.12,90.26,4.38
2025-01-11,FIN00100,240857.94,1069409.2536000002,934040.47,1401390.52,39.31,1090651.78,1068975.44,98.01,4.0
2025-01-12,FIN00101,1027333.53,3842227.4022000004,337418.86,4561685.87,35.62,4020530.34,3755681.4,93.41,4.71
2025-01-13,FIN00102,608662.78,2714635.9988,515872.45,3030087.19,33.49,2798830.13,3042706.18,91.29,4.41
2025-01-14,FIN00103,861141.9,2738431.242,501701.67,2876001.54,31.51,2864868.38,2604409.43,90.91,4.0
2025-01-15,FIN00104,1379836.42,5395160.4022,738455.58,9463668.38,52.62,5678170.75,5644221.69,99.4,4.55
2025-01-16,FIN00105,524079.9,1546035.705,391857.47,1910657.4,37.08,1573601.99,1658647.98,94.6,4.54
2025-01-17,FIN00106,733497.8,2215163.356,917643.33,2268887.57,30.73,2155636.53,2076632.65,96.34,4.51
2025-01-18,FIN00107,1182216.48,4161402.0096,879985.99,5814604.9,41.92,3947624.25,3970389.94,99.42,4.62
2025-01-19,FIN00108,497437.62,1561954.1268,756446.07,2315764.25,44.48,1687817.4,1755469.52,95.99,4.11
2025-01-20,FIN00109,300073.88,852209.8192,620889.68,996429.48,35.08,932304.73,1016580.68,90.96,4.87
2025-01-21,FIN00110,576676.89,1747330.9767,953069.23,1824298.0,31.32,1697588.92,1562699.4,92.05,4.7
2025-01-22,FIN00111,409587.67,1052640.3118999999,881522.59,1251721.42,35.67,971020.84,904452.84,93.14,4.95
2025-01-23,FIN00112,1408606.95,5507653.1745,649520.6,9247915.66,50.37,5202019.54,5211248.85,99.82,4.41
2025-01-24,FIN00113,1250556.49,4351936.5852,791311.35,4709855.85,32.47,4500483.28,4427102.86,98.37,4.7
2025-01-25,FIN00114,1023424.88,2753012.9272,696850.97,4281037.05,46.65,2572929.2,2527026.16,98.22,4.01
2025-01-26,FIN00115,1332898.77,3785432.5068,711559.57,4339665.21,34.39,3997509.3,3835179.64,95.94,4.32
2025-01-27,FIN00116,1244773.7,3373336.727,531683.25,4033462.2,35.87,3658741.42,3703147.41,98.79,4.16
2025-01-28,FIN00117,442541.08,1650678.2284000001,623459.22,2299523.33,41.79,1803746.12,1942017.09,92.33,4.65
2025-01-29,FIN00118,1360326.7,3659278.823,354685.0,4028226.84,33.02,3300175.87,3076374.0,93.22,4.24
2025-01-30,FIN00119,901144.91,3613591.0891,550144.08,4239477.72,35.2,3944707.45,3720085.02,94.31,4.44
2025-01-31,FIN00120,1249672.2,3174167.388,787079.96,4281800.75,40.47,3326650.85,3440304.87,96.58,4.57
2025-02-01,FIN00121,1364918.69,4094756.07,967251.22,5444670.23,39.89,3754113.5,3420896.63,91.12,4.45
2025-02-02,FIN00122,613404.52,2625371.3456,974144.88,4592487.23,52.48,2580866.3,2670558.73,96.52,4.18
2025-02-03,FIN00123,343067.5,1351685.95,689006.01,1452768.14,32.24,1405765.68,1353599.45,96.29,5.0
2025-02-04,FIN00124,496315.71,1315236.6315,724635.58,2446932.96,55.81,1435366.53,1394560.19,97.16,4.61
2025-02-05,FIN00125,755240.13,3126694.1382,430004.83,5678802.48,54.49,2916668.71,2861572.47,98.11,5.0
2025-02-06,FIN00126,1263419.2,4409333.008,786715.68,7786845.23,52.98,4081043.42,3958275.48,96.99,4.26
2025-02-07,FIN00127,1318949.76,5526399.4944,349461.15,7236114.76,39.28,5495835.25,5870881.62,93.18,4.46
2025-02-08,FIN00128,209037.77,773439.749,499279.98,1409889.23,54.69,845849.01,921310.32,91.08,4.6
2025-02-09,FIN00129,863971.49,3334929.9513999997,767854.34,3944562.08,35.48,3649333.28,3684375.26,99.04,5.0
2025-02-10,FIN00130,742634.3,3334428.007,517217.09,3749261.55,33.73,3152978.27,3204610.49,98.36,5.0
2025-02-11,FIN00131,488740.15,1446670.844,334892.81,1511707.86,31.35,1394401.8,1274617.98,91.41,4.44
2025-02-12,FIN00132,355824.98,1334343.6749999998,882309.29,2587706.52,58.18,1443234.65,1504771.85,95.74,4.36
2025-02-13,FIN00133,638899.72,2185037.0423999997,517231.0,2858052.26,39.24,2287664.51,2326142.52,98.32,4.57
2025-02-14,FIN00134,1425782.62,3678519.1596000004,344173.66,7053994.11,57.53,4026004.17,3663981.46,91.01,4.93
2025-02-15,FIN00135,620163.81,1569014.4393,352351.72,1996749.05,38.18,1692385.53,1590309.52,93.97,4.62
2025-02-16,FIN00136,874427.81,2395932.1994000003,476231.16,4570398.7,57.23,2259410.09,2124723.68,94.04,4.67
2025-02-17,FIN00137,1113924.65,4232913.669999999,424611.16,8059167.31,57.12,4452793.94,4159771.56,93.42,4.93
2025-02-18,FIN00138,672718.48,2441968.0823999997,842010.08,4697555.5,57.71,2221490.22,2291976.31,96.83,4.88
2025-02-19,FIN00139,1463316.71,5282573.3231,525178.83,7903540.25,44.88,5618368.31,6099794.63,91.43,4.9
2025-02-20,FIN00140,1451181.48,3715024.5888,863287.05,6932036.34,55.98,3790481.76,3989842.4,94.74,4.79
2025-02-21,FIN00141,527316.98,1813970.4112,421692.2,3538631.61,58.52,1979441.14,1970483.57,99.55,5.0
2025-02-22,FIN00142,846423.06,3681940.3109999998,645015.43,4877160.52,39.74,4020702.72,3943546.48,98.08,4.24
2025-02-23,FIN00143,591141.8,1950767.94,781625.99,2767894.7,42.57,1775516.84,1735197.73,97.73,5.0
2025-02-24,FIN00144,570292.64,2138597.4,756393.6,3676762.59,51.58,1993395.83,2033760.88,97.98,4.92
2025-02-25,FIN00145,247953.03,1006689.3017999999,720790.59,1309058.32,39.01,1003509.58,975254.9,97.18,4.55
2025-02-26,FIN00146,992433.63,4039204.8741,947375.12,7083995.11,52.61,4345775.29,4107732.82,94.52,4.93
2025-02-27,FIN00147,853482.73,3021328.8642,459967.6,3244581.34,32.22,3211337.3,3277389.95,97.94,4.5
2025-02-28,FIN00148,266922.38,1126412.4435999999,645603.44,1716087.54,45.7,1231026.88,1204117.96,97.81,4.74
2025-03-01,FIN00149,562240.4,1844148.5119999999,918794.79,2069712.74,33.67,1887701.44,1704263.99,90.28,4.78
2025-03-02,FIN00150,1380745.65,5909591.382,354525.64,7643013.27,38.8,5621869.36,5084678.5,90.44,4.86
2025-03-03,FIN00151,511430.46,1524062.7708,339121.79,1918224.1,37.76,1379309.31,1317002.22,95.48,4.46
2025-03-04,FIN00152,388363.33,1188391.7898000001,463311.6,2185371.78,55.17,1122537.41,1125326.29,99.75,4.87
2025-03-05,FIN00153,836288.59,2182713.2199,743114.85,2605105.89,35.81,2259227.45,2193366.22,97.08,4.47
2025-03-06,FIN00154,1481345.59,6058703.4631,481915.74,10956849.68,54.25,6575238.01,5949347.88,90.48,4.82
2025-03-07,FIN00155,514671.85,1713857.2604999999,433167.92,3074591.96,53.82,1652468.15,1560971.57,94.46,4.59
2025-03-08,FIN00156,1073776.21,3178377.5815999997,621161.62,4764016.3,44.97,3417203.63,3141380.15,91.93,4.05
2025-03-09,FIN00157,1190105.5,3522712.28,729518.65,4346474.79,37.02,3448663.63,3758099.81,91.03,4.38
2025-03-10,FIN00158,508928.81,2188393.883,473990.39,2684932.45,36.81,2104478.28,2025700.95,96.26,4.85
2025-03-11,FIN00159,1146681.25,4781660.8125,510483.83,7004772.78,43.95,4790118.85,4325253.5,90.3,4.51
2025-03-12,FIN00160,678118.07,2448006.2326999996,729491.51,2469570.74,30.26,2419743.26,2497447.63,96.79,4.96
2025-03-13,FIN00161,1021997.58,3812050.9734,962016.9,5837587.13,45.94,4127536.21,3906670.05,94.65,4.24
2025-03-14,FIN00162,1023588.62,3531380.739,772319.21,6896008.0,58.58,3508961.38,3555796.37,98.67,4.81
2025-03-15,FIN00163,896507.09,2940543.2551999995,848032.9,3395465.53,34.64,2809592.27,2613339.7,93.01,4.59
2025-03-16,FIN00164,317376.7,1374241.111,556767.07,2162156.23,47.2,1468394.65,1610539.14,90.32,4.53
2025-03-17,FIN00165,1285893.24,3536206.41,490578.05,6937254.37,58.85,3888942.65,4254704.86,90.59,4.25
2025-03-18,FIN00166,617014.08,2060827.0271999997,617987.42,3834214.31,55.82,2121898.16,2188094.32,96.88,4.66
2025-03-19,FIN00167,442474.06,1411492.2514,864992.98,2611797.2,55.51,1341047.88,1396621.61,95.86,4.3
2025-03-20,FIN00168,253007.68,885526.88,619409.75,1613297.08,54.66,839269.63,826828.11,98.52,4.41
2025-03-21,FIN00169,968160.83,3311110.0385999996,892707.79,4334321.2,39.27,3018213.68,3297204.88,90.76,4.56
2025-03-22,FIN00170,1080833.67,3826151.1917999997,992140.39,7233785.84,56.72,3502683.04,3449259.86,98.47,4.49
2025-03-23,FIN00171,221564.18,615948.4204,350418.67,1195765.52,58.24,667070.06,632311.44,94.79,4.91
2025-03-24,FIN00172,865720.98,3055995.0593999997,331787.11,4571134.26,44.87,2809368.38,2593259.74,92.31,3.82
2025-03-25,FIN00173,494444.51,1473444.6398,404712.79,1995885.45,40.64,1468830.95,1383088.03,94.16,4.55
2025-03-26,FIN00174,1038724.63,2981139.6881,569058.77,4216014.25,42.43,3099265.43,3144027.19,98.56,4.49
2025-03-27,FIN00175,426676.36,1122158.8268,391729.55,1497191.54,40.03,1200789.57,1139571.33,94.9,4.6
2025-03-28,FIN00176,1098219.06,4425822.8118,909465.13,5365949.2,36.37,4134843.51,4262402.96,96.92,4.44
2025-03-29,FIN00177,702755.95,2354232.4325,316202.38,3810203.88,48.55,2324935.74,2270153.06,97.64,4.91
2025-03-30,FIN00178,1417748.99,5316558.7125,521054.9,8307638.09,46.88,5052304.69,5443224.64,92.26,4.52
2025-03-31,FIN00179,378777.23,1499957.8307999999,429286.24,2193815.93,43.88,1426706.82,1443393.03,98.83,4.64
2025-01-01,FIN00180,643386.26,2483470.9636,952077.53,2721500.2,32.88,2386039.09,2444546.7,97.55,4.87
2025-01-02,FIN00181,347515.58,1195453.5952,768636.7,2148102.15,53.91,1216282.27,1230040.81,98.87,4.62
2025-01-03,FIN00182,1402101.7,4598893.575999999,938421.18,5403394.41,35.25,4154251.82,4474601.78,92.29,4.22
2025-01-04,FIN00183,1340541.16,4356758.77,980630.1,4855877.96,33.44,4277262.11,3903788.33,91.27,4.47
2025-01-05,FIN00184,535324.12,2023525.1735999999,647968.77,3284325.83,48.69,1896783.75,1732654.56,91.35,4.56
2025-01-06,FIN00185,1057979.26,3692347.6174000003,464023.38,5164281.17,41.96,4037300.4,4200197.59,95.97,4.11
2025-01-07,FIN00186,1262388.86,5302033.212,435610.15,5619139.73,31.79,5389759.76,5678611.97,94.64,4.39
2025-01-08,FIN00187,921761.06,3917484.5050000004,456043.2,5310418.03,40.67,4205886.16,4150023.09,98.67,4.58
2025-01-09,FIN00188,888545.75,2523469.9299999997,796015.32,4471034.44,53.15,2369886.5,2299882.52,97.05,5.0
2025-01-10,FIN00189,514407.98,1424910.1046,328312.01,2301584.91,48.46,1513259.01,1446053.68,95.56,4.71
2025-01-11,FIN00190,321033.6,1207086.336,335952.75,1645000.39,40.88,1186513.35,1123484.55,94.69,4.65
2025-01-12,FIN00191,1366380.49,4235779.519,725700.06,5048222.33,35.75,3962736.67,4289233.35,91.76,5.0
2025-01-13,FIN00192,1370543.47,3481180.4137999997,749440.0,5680574.95,48.95,3663068.75,3512985.16,95.9,4.78
2025-01-14,FIN00193,1023031.89,4378576.489200001,765684.05,8264805.26,56.63,4608023.62,4744493.73,97.04,4.82
2025-01-15,FIN00194,640738.73,1890179.2535,560316.35,3111750.54,49.39,2077642.66,2196938.73,94.26,4.48
2025-01-16,FIN00195,653972.45,2851319.882,864161.42,5169168.8,54.39,3011528.28,2723606.05,90.44,4.22
2025-01-17,FIN00196,1143742.38,4494907.5534,673537.21,6839126.97,45.65,4176009.37,3786700.18,90.68,4.68
2025-01-18,FIN00197,1366243.34,5505960.660200001,373825.94,9459081.33,51.54,5310548.33,5133321.95,96.66,5.0
2025-01-19,FIN00198,1353212.35,3924315.815,857969.51,7441392.72,56.89,3886428.05,4038788.27,96.08,5.0
2025-01-20,FIN00199,1213838.21,3605099.4837,967147.45,6392486.62,53.2,3335908.73,3176317.94,95.22,4.8
2025-01-21,FIN00200,1034641.14,3662629.6356,342025.42,6995087.69,57.3,3873625.65,3487412.23,90.03,4.39
2025-01-22,FIN00201,309381.95,878644.738,573945.94,1257463.28,42.93,883336.44,845909.11,95.76,4.13
2025-01-23,FIN00202,410117.33,1275464.8963,641261.23,2428766.09,57.13,1388840.86,1274992.25,91.8,4.35
2025-01-24,FIN00203,1368120.45,4295898.213,402529.53,6966087.78,48.65,4372629.95,4127249.6,94.39,4.67
2025-01-25,FIN00204,988357.78,2787168.9395999997,907396.26,5212141.84,56.1,2799933.66,2706522.28,96.66,4.46
2025-01-26,FIN00205,211956.17,616792.4547000001,498904.75,641079.6,31.18,563924.11,521974.62,92.56,4.9
2025-01-27,FIN00206,331913.01,1354205.0808,848105.98,2245072.12,49.74,1259233.57,1311205.85,95.87,4.15
2025-01-28,FIN00207,1062552.3,3007023.009,769696.14,5556903.58,55.44,3217229.6,3060177.47,95.12,4.56
2025-01-29,FIN00208,206580.06,528844.9536,718632.08,620970.82,35.23,580743.26,599454.2,96.78,4.37
2025-01-30,FIN00209,409050.47,1538029.7672,434499.99,2555877.77,49.85,1511938.36,1541884.68,98.02,4.9
2025-01-31,FIN00210,913353.93,4064424.9885000004,454492.46,7417391.54,54.75,4316489.31,4660121.13,92.04,4.76
2025-02-01,FIN00211,1099463.76,3474305.4816,333143.88,4474729.55,38.64,3562959.87,3269324.35,91.76,4.35
2025-02-02,FIN00212,1047549.64,2870286.0136,468498.7,4033458.88,42.16,3133812.3,2954939.37,94.29,4.86
2025-02-03,FIN00213,491550.1,1789242.364,541810.53,2808247.59,47.09,1695535.17,1819369.75,92.7,4.11
2025-02-04,FIN00214,1125832.99,4852340.186899999,883201.71,7371518.43,45.58,4895851.84,5211273.42,93.56,4.06
2025-02-05,FIN00215,508423.81,2069284.9067000002,556474.87,2150378.93,31.18,2031539.42,1906439.48,93.84,4.33
2025-02-06,FIN00216,623019.61,2336323.5375,828235.25,2566853.48,32.96,2355815.94,2170995.59,92.15,4.01
2025-02-07,FIN00217,1170438.83,3663473.5379,607609.6,4031530.19,33.01,3494117.08,3743066.96,92.88,4.57
2025-02-08,FIN00218,1044522.77,3739391.5166,849407.82,4720113.9,37.87,3737705.92,3497100.86,93.56,4.58
2025-02-09,FIN00219,1303990.43,3494694.3524,983390.12,4353914.28,37.38,3581924.82,3847782.24,92.58,4.48
2025-02-10,FIN00220,1054896.76,4071901.4935999997,467889.09,7094157.93,52.27,3730851.96,4074922.1,90.78,4.76
2025-02-11,FIN00221,938801.18,3708264.6610000003,903639.13,5832152.43,47.18,3888476.87,3671349.49,94.42,4.38
2025-02-12,FIN00222,321777.2,1425472.996,735276.86,2514500.27,52.92,1484351.58,1585402.55,93.19,4.21
2025-02-13,FIN00223,678030.54,2047652.2308,872105.98,2190775.05,32.1,2203461.2,2169894.15,98.48,4.36
2025-02-14,FIN00224,544763.08,1383698.2232,756110.13,2055088.3,44.56,1363179.79,1441911.17,94.22,4.23
2025-02-15,FIN00225,517186.54,1856699.6785999998,596764.66,2457853.69,39.71,1693929.92,1662556.83,98.15,4.42
2025-02-16,FIN00226,1464913.72,5727812.6452,459652.46,10596105.78,55.5,5683663.96,5195318.55,91.41,4.78
2025-02-17,FIN00227,711027.04,2900990.3232,349024.66,4954279.82,51.23,2690731.87,2805193.06,95.75,4.07
2025-02-18,FIN00228,1359660.52,3929418.9028000003,674862.86,7345099.57,56.08,4045294.96,3762681.47,93.01,4.5
